2/5/69,,,,,,,,,,,,,,,,,
,ที่มา,รายการปลา, จำนวนปลา , ปลาเข้าใหม่ , ยอดรวม , ยอดขายไป , สินค้าคงเหลือ , ราคาต้นทุน ,ล๊อต, มูลค่าสินค้าคงเหลือ ,,,มูลค้าสินค้า ขายออก,,มูลค้าสินค้ารับเข้าสต๊อค,,
19/3/69,R2,โอลาย 6/7, 74.0 ,, 74.0 ,, 74.0 , 420.0 ,หนู/1," 31,080.00 ",,, -  ,, -  ,,
27/4/69,R2,โอลาย8/1M, 67.0 ,, 67.0 ,, 67.0 , 400.0 ,ซี/1," 26,800.00 ",,, -  ,, -  ,,
21/3/69,R3,โอหลอด 3, 320.0 ,, 320.0 ,, 320.0 , 450.0 ,สยามชัย/1," 144,000.00 ",,, -  ,, -  ,,
25/3/69,R3,โอหลอด 3, 5.0 ,, 5.0 ,, 5.0 , 450.0 ,สยามชัย/2," 2,250.00 ",,, -  ,, -  ,,
4/4/69,R3,โอหลอด 3, 48.0 ,, 48.0 ,, 48.0 , 450.0 ,สยามชัย/3," 21,600.00 ",,, -  ,, -  ,,
4/4/69,R3,โอหลอด 3, 37.0 ,, 37.0 ,, 37.0 , 450.0 ,สยามชัย/4," 16,650.00 ",,, -  ,, -  ,,
7/4/69,R2,โอหลอด 3, 119.0 ,, 119.0 ,, 119.0 , 450.0 ,สยามชัย/5," 53,550.00 ",,, -  ,, -  ,,
7/4/69,R3,โอหลอด 3-4," 1,111.0 ",," 1,111.0 ",," 1,111.0 ", 450.0 ,สยามชัย/1," 499,950.00 ",,, -  ,, -  ,,
29/3/69,R3,โอหลอด 4-5, 268.0 ,, 268.0 ,, 268.0 , 450.0 ,สยามชัย/3," 120,600.00 ",,, -  ,, -  ,,
4/4/69,R2,โอหลอด 4-5, 89.0 ,, 89.0 ,, 89.0 , 450.0 ,สยามชัย/1," 40,050.00 ",,, -  ,, -  ,,
12/2/69,R2,โอหลอด5-6, 8.0 ,, 8.0 ,, 8.0 , 480.0 ,หนู/1," 3,840.00 ",,, -  ,, -  ,,
4/4/69,R2,โอหลอด5-6, 15.0 ,, 15.0 ,, 15.0 , 430.0 ,สยามชัย/1," 6,450.00 ",,, -  ,, -  ,,
29/4/69,R2,โอหลอด5-6M, 104.0 ,, 104.0 ,, 104.0 , 420.0 ,," 43,680.00 ",,, -  ,, -  ,,
22/4/69,R2+3,โอหลอด5/1, 282.0 ,, 282.0 ,, 282.0 , 450.0 ,ซี/1," 126,900.00 ",,, -  ,, -  ,,
26/2/69,R3,โอหลอด6/1M, 56.0 ,, 56.0 ,, 56.0 , 400.0 ,ซี/1," 22,400.00 ",,, -  ,, -  ,,
22/4/69,R3,โอหลอด6/1M, 210.0 ,, 210.0 ,, 210.0 , 440.0 ,ซี/2," 92,400.00 ",,, -  ,, -  ,,
22/4/69,R2,โอหลอด6/1, 220.0 ,, 220.0 ,, 220.0 , 420.0 ,ซี/3," 92,400.00 ",,, -  ,, -  ,,
19/3/69,R2,โอหลอด6/7, 57.0 ,, 57.0 ,, 57.0 , 420.0 ,หนู/1," 23,940.00 ",,, -  ,, -  ,,
22/4/69,R2,โอหลอด6/7M, 152.0 ,, 152.0 ,, 152.0 , 400.0 ,ซี/1," 60,800.00 ",,, -  ,, -  ,,
22/4/69,R2,โอหลอด7/1M, 44.0 ,, 44.0 ,, 44.0 , 390.0 ,ซี/1," 17,160.00 ",,, -  ,, -  ,,
29/4/69,R3,โอหลอด C7, 211.0 ,, 211.0 ,, 211.0 , 330.0 ,," 69,630.00 ",,, -  ,, -  ,,
23/3/69,R3,โอปน3-4, 43.0 ,, 43.0 ,, 43.0 , 450.0 ,สยามชัย/2," 19,350.00 ",,, -  ,, -  ,,
25/3/69,R2,โอปน5-6, 139.0 ,, 139.0 ,, 139.0 , 430.0 ,สยามชัย/2," 59,770.00 ",,, -  ,, -  ,,
23/3/69,R3,โอปน6-7, 181.0 ,, 181.0 ,, 181.0 , 430.0 ,สยามชัย/1," 77,830.00 ",,, -  ,, -  ,,
25/3/69,R3,โอปน6-7, 174.0 ,, 174.0 ,, 174.0 , 430.0 ,สยามชัย/2," 74,820.00 ",,, -  ,, -  ,,
27/4/69,R2,โอ C, 447.0 ,, 447.0 ,, 447.0 , 360.0 ,ซี/1," 160,920.00 ",,, -  ,, -  ,,
25/3/69,รั้วR3,ทูแขกหางแดงK6-7, 6.0 ,, 6.0 ,, 6.0 , 430.0 ,สยามชัย/1," 2,580.00 ",,, -  ,, -  ,,
17/7/68,R2,ทูแขกหางแดงไต้หวัน25/30, 14.0 ,, 14.0 ,, 14.0 , 440.0 ,กบ/1," 6,160.00 ",,, -  ,, -  ,,
16/1/69,R2,ทูแขก ME10, 10.0 ,, 10.0 ,, 10.0 , 405.0 ,ซี/1," 4,050.00 ",,, -  ,, -  ,,
16/1/69,R2,ทูแขกดำ ME10/1, 7.0 ,, 7.0 ,, 7.0 , 460.0 ,ซี/1," 3,220.00 ",,, -  ,, -  ,,
4/4/69,R2,ทูแขก M12-13, 3.0 ,, 3.0 ,, 3.0 , 410.0 ,สยามชัย/1," 1,230.00 ",,, -  ,, -  ,,
17/4/69,R2,ทูแขก18-22, 4.0 ,, 4.0 ,, 4.0 , 350.0 ,ซีฟุ้ด/3," 1,400.00 ",,, -  ,, -  ,,
24/4/69,R2,ทูแขก18-22, 50.0 ,, 50.0 ,, 50.0 , 350.0 ,ซีฟุ้ด/1," 17,500.00 ",,, -  ,, -  ,,
22/4/69,R2,ทูแขกME18-19, 99.0 ,, 99.0 ,, 99.0 , 400.0 ,ซี/1," 39,600.00 ",,, -  ,, -  ,,
22/4/69,R2,ทูแขกME19-20, 45.0 ,, 45.0 ,, 45.0 , 400.0 ,ซี/1," 18,000.00 ",,, -  ,, -  ,,
29/4/69,R2,ทูแขก ME19-20, 71.0 ,, 71.0 ,, 71.0 , 400.0 ,," 28,400.00 ",,, -  ,, -  ,,
29/4/69,R3,ทูแขกดำ ME19-20, 99.0 ,, 99.0 ,, 99.0 , 400.0 ,," 39,600.00 ",,, -  ,, -  ,,
20/4/69,R2,ตาโต U5, 36.0 ,, 36.0 ,, 36.0 , 470.0 ,กบ/2," 16,920.00 ",,, -  ,, -  ,,
12/2/69,R2,ตาโต ME4-5, 52.0 ,, 52.0 ,, 52.0 , 500.0 ,ซี/1," 26,000.00 ",,, -  ,, -  ,,
29/4/69,R2,ตาโต ME5-6, 143.0 ,, 143.0 ,, 143.0 , 520.0 ,," 74,360.00 ",,, -  ,, -  ,,
3/4/69,R2,ตาโต M6-7, 7.0 ,, 7.0 ,, 7.0 , 420.0 ,สยามชัย/1," 2,940.00 ",,, -  ,, -  ,,
3/4/69,R2,ตาโต K11-12, 63.0 ,, 63.0 ,, 63.0 , 340.0 ,สยามชัย/1," 21,420.00 ",,, -  ,, -  ,,
3/4/69,R2,ตาโต M11-12, 20.0 ,, 20.0 ,, 20.0 , 320.0 ,สยามชัย/2," 6,400.00 ",,, -  ,, -  ,,
3/4/69,R2,ตาโต M12-13, 15.0 ,, 15.0 ,, 15.0 , 320.0 ,สยามชัย/1," 4,800.00 ",,, -  ,, -  ,,
4/4/69,R2,หางแข็ง 4-5, 25.0 ,, 25.0 ,, 25.0 , 370.0 ,สยามชัย/1," 9,250.00 ",,, -  ,, -  ,,
,,,,,,,,,, -   ,,, -  ,, -  ,,
,,," 10,905.0 ", -  ,, -  ," 10,905.0 ",,," 5,064,090.00 ",,, -  ,, -  ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,, ผลรวม ," 10,905.0 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7/7/68,R2,สีเสียด,, 15.0 ,,, 15.0 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
